亜人の女王＆亜人の剣聖,ツリーガード＆王都の騎兵,夜の獣、グラディウス
亜人の女王＆亜人の剣聖,忌み鬼,夜の獣、グラディウス
鈴玉狩り,ツリーガード＆王都の騎兵,夜の獣、グラディウス
鈴玉狩り,忌み鬼,夜の獣、グラディウス
貪食ドラゴン,古竜,夜の爵、エデレ
貪食ドラゴン,坩堝の騎士＆黄金カバ,夜の爵、エデレ
貪食ドラゴン,僻地の宿将,夜の爵、エデレ
ミミズ顔,古竜,夜の爵、エデレ
ミミズ顔,坩堝の騎士＆黄金カバ,夜の爵、エデレ
ミミズ顔,僻地の宿将,夜の爵、エデレ
夜の騎兵：グレイブ＆夜の騎兵：フレイル,古竜,夜の爵、エデレ
夜の騎兵：グレイブ＆夜の騎兵：フレイル,坩堝の騎士＆黄金カバ,夜の爵、エデレ
夜の騎兵：グレイブ＆夜の騎兵：フレイル,僻地の宿将,夜の爵、エデレ
英雄のガーゴイル,古竜,夜の爵、エデレ
英雄のガーゴイル,坩堝の騎士＆黄金カバ,夜の爵、エデレ
英雄のガーゴイル,僻地の宿将,夜の爵、エデレ
公のフレイディア,古竜,夜の爵、エデレ
公のフレイディア,坩堝の騎士＆黄金カバ,夜の爵、エデレ
公のフレイディア,僻地の宿将,夜の爵、エデレ
百足のデーモン,ノクスの竜人兵,夜の識、グノスター
百足のデーモン,竜のツリーガード＆王都の騎兵,夜の識、グノスター
百足のデーモン,大土竜,夜の識、グノスター
熔鉄デーモン,ノクスの竜人兵,夜の識、グノスター
熔鉄デーモン,竜のツリーガード＆王都の騎兵,夜の識、グノスター
熔鉄デーモン,大土竜,夜の識、グノスター
戦場の宿将,ノクスの竜人兵,夜の識、グノスター
戦場の宿将,竜のツリーガード＆王都の騎兵,夜の識、グノスター
戦場の宿将,大土竜,夜の識、グノスター
ティビアの呼び舟＆死に生きる者たち,ノクスの竜人兵,夜の識、グノスター
ティビアの呼び舟＆死に生きる者たち,竜のツリーガード＆王都の騎兵,夜の識、グノスター
ティビアの呼び舟＆死に生きる者たち,大土竜,夜の識、グノスター
爛れた樹霊,ノクスの竜人兵,夜の識、グノスター
爛れた樹霊,竜のツリーガード＆王都の騎兵,夜の識、グノスター
爛れた樹霊,大土竜,夜の識、グノスター
貪食ドラゴン,ツリーガード＆王都の騎兵,深海の夜、マリス
貪食ドラゴン,神肌の貴種＆神肌の使徒,深海の夜、マリス
貪食ドラゴン,降る星の成獣,深海の夜、マリス
ミミズ顔,ツリーガード＆王都の騎兵,深海の夜、マリス
